level,playing_users,lost_heart_not_out_users,lost_heart_not_out_won,lost_heart_not_out_dropped_cohort,lost_heart_not_out_dropped_realtime,total_out_of_lives_users,out_of_lives_returned_users,out_of_lives_churned_cohort,out_of_lives_churned_realtime,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime
329,3,1,1,0,0,0,0,0,0,0,0,0,0
330,3,1,1,0,0,0,0,0,0,0,0,0,0
331,3,0,0,0,0,0,0,0,0,0,0,0,0
332,3,0,0,0,0,0,0,0,0,0,0,0,0
333,3,0,0,0,0,0,0,0,0,0,0,0,0
334,3,0,0,0,0,0,0,0,0,0,0,0,0
335,3,0,0,0,0,0,0,0,0,0,0,0,0
336,3,0,0,0,0,0,0,0,0,0,0,0,0
337,3,0,0,0,0,0,0,0,0,0,0,0,0
338,3,0,0,0,0,0,0,0,0,0,0,0,0
339,3,0,0,0,0,0,0,0,0,0,0,0,0
340,3,0,0,0,0,0,0,0,0,0,0,0,0
341,3,0,0,0,0,0,0,0,0,0,0,0,0
342,3,0,0,0,0,0,0,0,0,0,0,0,0
343,3,0,0,0,0,0,0,0,0,0,0,0,0
344,3,0,0,0,0,0,0,0,0,0,0,0,0
345,3,0,0,0,0,0,0,0,0,0,0,1,0
346,2,0,0,0,0,0,0,0,0,0,0,0,0
347,2,0,0,0,0,0,0,0,0,0,0,0,0
348,2,0,0,0,0,0,0,0,0,0,0,0,0
349,2,0,0,0,0,0,0,0,0,0,0,0,0
350,2,0,0,0,0,0,0,0,0,0,0,0,0
351,2,0,0,0,0,0,0,0,0,0,0,1,0
352,1,0,0,0,0,0,0,0,0,0,0,0,0
353,1,0,0,0,0,0,0,0,0,0,0,0,0
354,1,0,0,0,0,0,0,0,0,0,0,0,0
355,1,0,0,0,0,0,0,0,0,0,0,0,0
356,1,0,0,0,0,0,0,0,0,0,0,0,0
357,1,0,0,0,0,0,0,0,0,0,0,0,0
358,1,0,0,0,0,0,0,0,0,0,0,0,0
359,1,0,0,0,0,0,0,0,0,0,0,0,0
360,1,0,0,0,0,0,0,0,0,0,0,0,0
361,1,0,0,0,0,0,0,0,0,0,0,0,0
362,1,0,0,0,0,0,0,0,0,0,0,0,0
363,1,0,0,0,0,0,0,0,0,0,0,0,0
364,1,0,0,0,0,0,0,0,0,0,0,0,0
365,1,0,0,0,0,0,0,0,0,0,0,0,0
366,1,0,0,0,0,0,0,0,0,0,0,0,0
367,1,0,0,0,0,0,0,0,0,0,0,0,0
368,1,0,0,0,0,0,0,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,0,0,0,0
370,1,0,0,0,0,0,0,0,0,0,0,0,0
371,1,0,0,0,0,0,0,0,0,0,0,0,0
372,1,0,0,0,0,0,0,0,0,0,0,0,0
373,1,0,0,0,0,0,0,0,0,0,0,0,0
374,1,0,0,0,0,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0,0,0,0,0
376,1,0,0,0,0,0,0,0,0,0,0,0,0
377,1,0,0,0,0,0,0,0,0,0,0,0,0
378,1,0,0,0,0,0,0,0,0,0,0,0,0
